prefix_len,encoding,attribute,group,group_n,metric,disparity,violation_80pct,severity,harm_dir,small_support
10,simple,Act5,A06,207,FDR,19.047619047619047,True,severe,higher,False
10,simple,Act6,A02,68,FDR,0.0,True,severe,lower,False
10,simple,Act6,A07,182,FDR,0.1068313953488372,True,severe,lower,False
10,simple,Act6,A09,122,FDR,0.0,True,severe,lower,False
10,simple,Act7,A02,114,FDR,0.3973063973063973,True,severe,lower,False
10,simple,Act7,A09,187,FDR,0.48559670781893,True,severe,lower,False
10,simple,Act8,A02,65,FDR,10.0,True,severe,higher,False
10,simple,Act8,A07,109,FDR,10.0,True,severe,higher,False
10,simple,Act8,A09,97,FDR,10.0,True,severe,higher,False
10,simple,Act9,A01,198,FDR,6.965034965034965,True,severe,higher,False
10,simple,Act9,A02,13,FDR,23.71428571428571,True,severe,higher,True
10,simple,Act9,A07,10,FDR,0.0,True,severe,lower,True
10,simple,Act9,A09,16,FDR,0.0,True,severe,lower,True
10,simple,Act10,A01,128,FDR,10.0,True,severe,higher,False
10,simple,Act10,A04,158,FDR,10.0,True,severe,higher,False
10,simple,gender_cat,F,250,FDR,0.4137931034482759,True,severe,lower,False
10,simple,citizen_cat,F,229,FDR,1.3148936170212766,True,high,higher,False
10,simple,age_group,18-29,6,FDR,0.0,True,severe,lower,True
10,simple,age_group,30-44,164,FDR,0.0,True,severe,lower,False
10,simple,age_group,65+,44,FDR,2.718614718614719,True,severe,higher,False
10,simple,german_speaking_cat,F,234,FDR,1.952319587628866,True,severe,higher,False
10,simple,Act5,A06,207,FOR,0.7333333333333333,True,high,lower,False
10,simple,Act6,A02,68,FOR,0.5555555555555556,True,high,lower,False
10,simple,Act6,A07,182,FOR,1.6666666666666667,True,severe,higher,False
10,simple,Act6,A09,122,FOR,1.6666666666666667,True,severe,higher,False
10,simple,Act7,A02,114,FOR,1.6333333333333335,True,severe,higher,False
10,simple,Act8,A02,65,FOR,10.0,True,severe,higher,False
10,simple,Act8,A07,109,FOR,10.0,True,severe,higher,False
10,simple,Act8,A09,97,FOR,10.0,True,severe,higher,False
10,simple,Act9,A01,198,FOR,0.159090909090909,True,severe,lower,False
10,simple,Act9,A07,10,FOR,0.0,True,severe,lower,True
10,simple,citizen_cat,F,229,FOR,2.375,True,severe,higher,False
10,simple,age_group,30-44,164,FOR,0.6375,True,high,lower,False
10,simple,age_group,65+,44,FOR,0.4636363636363637,True,severe,lower,False
10,simple,Act3,A03,281,FPR,0.6851851851851851,True,high,lower,False
10,simple,Act4,A11,281,FPR,0.6851851851851851,True,high,lower,False
10,simple,Act5,A06,207,FPR,2.24,True,severe,higher,False
10,simple,Act6,A02,68,FPR,0.0,True,severe,lower,False
10,simple,Act6,A09,122,FPR,0.0,True,severe,lower,False
10,simple,Act7,A02,114,FPR,0.6666666666666666,True,high,lower,False
10,simple,Act7,A09,187,FPR,0.631578947368421,True,high,lower,False
10,simple,Act8,A02,65,FPR,10.0,True,severe,higher,False
10,simple,Act8,A07,109,FPR,10.0,True,severe,higher,False
10,simple,Act8,A09,97,FPR,10.0,True,severe,higher,False
10,simple,Act9,A01,198,FPR,0.2222222222222222,True,severe,lower,False
10,simple,Act9,A07,10,FPR,0.0,True,severe,lower,True
10,simple,Act9,A09,16,FPR,0.0,True,severe,lower,True
10,simple,gender_cat,F,250,FPR,0.236734693877551,True,severe,lower,False
10,simple,age_group,30-44,164,FPR,0.0,True,severe,lower,False
10,simple,german_speaking_cat,F,234,FPR,1.3306451612903225,True,high,higher,False
10,simple,religious_cat,F,252,FPR,0.7058823529411765,True,high,lower,False
10,simple,Act5,A06,207,FNR,4.560509554140127,True,severe,higher,False
10,simple,Act6,A02,68,FNR,0.1384479717813051,True,severe,lower,False
10,simple,Act6,A07,182,FNR,0.247790404040404,True,severe,lower,False
10,simple,Act6,A09,122,FNR,0.2198879551820728,True,severe,lower,False
10,simple,Act7,A02,114,FNR,1.3444444444444443,True,high,higher,False
10,simple,Act8,A02,65,FNR,10.0,True,severe,higher,False
10,simple,Act8,A07,109,FNR,10.0,True,severe,higher,False
10,simple,Act8,A09,97,FNR,10.0,True,severe,higher,False
10,simple,Act9,A01,198,FNR,2.0538194444444446,True,severe,higher,False
